,Unnamed: 0,precision,recall,label,balanced_accuracy,model_name,n_parameters,running_time
0,1,0.851576994434137,0.9849785407725319,crabeater,0.885885745781029,Resnet18,11182155,4.95886165747262
1,2,0.7173913043478259,0.970588235294118,weddell,0.885885745781029,Resnet18,11182155,4.95886165747262
2,3,0.993388429752066,0.853693181818182,emperor,0.885885745781029,Resnet18,11182155,4.95886165747262
3,4,0.6645569620253161,0.8467741935483871,marching-emperor,0.885885745781029,Resnet18,11182155,4.95886165747262
0,1,0.9564315352697099,0.9892703862660941,crabeater,0.8660304420481492,Resnet34,21290315,7.48753838572195
1,2,0.664429530201342,0.970588235294118,weddell,0.8660304420481492,Resnet34,21290315,7.48753838572195
2,3,0.8716931216931221,0.936079545454545,emperor,0.8660304420481492,Resnet34,21290315,7.48753838572195
3,4,0.7387387387387391,0.661290322580645,marching-emperor,0.8660304420481492,Resnet34,21290315,7.48753838572195
0,1,0.972162740899358,0.9742489270386271,crabeater,0.8305695609256959,Resnet50,23530571,12.633870292867401
1,2,0.49238578680203005,0.9509803921568629,weddell,0.8305695609256959,Resnet50,23530571,12.633870292867401
2,3,0.991596638655462,0.838068181818182,emperor,0.8305695609256959,Resnet50,23530571,12.633870292867401
3,4,0.5581395348837211,0.580645161290323,marching-emperor,0.8305695609256959,Resnet50,23530571,12.633870292867401
0,1,0.322697606961566,0.954935622317597,crabeater,0.631914747398876,Squeezenet11,728139,2.89609724349054
1,2,0.17469879518072304,0.852941176470588,weddell,0.631914747398876,Squeezenet11,728139,2.89609724349054
2,3,,0.0,emperor,0.631914747398876,Squeezenet11,728139,2.89609724349054
3,4,0.0797101449275362,0.44354838709677397,marching-emperor,0.631914747398876,Squeezenet11,728139,2.89609724349054
0,1,0.645061728395062,0.8969957081545059,crabeater,0.6996729641198909,Alexnet,57048907,2.32629753953535
1,2,0.219135802469136,0.696078431372549,weddell,0.6996729641198909,Alexnet,57048907,2.32629753953535
2,3,0.8959660297239921,0.599431818181818,emperor,0.6996729641198909,Alexnet,57048907,2.32629753953535
3,4,0.19127516778523498,0.45967741935483897,marching-emperor,0.6996729641198909,Alexnet,57048907,2.32629753953535
0,1,0.9760348583878,0.96137339055794,crabeater,0.908028711668293,NasnetA,12740771,36.3208051515428
1,2,0.867924528301887,0.901960784313726,weddell,0.908028711668293,NasnetA,12740771,36.3208051515428
2,3,0.994038748137109,0.947443181818182,emperor,0.908028711668293,NasnetA,12740771,36.3208051515428
3,4,0.7647058823529409,0.943548387096774,marching-emperor,0.908028711668293,NasnetA,12740771,36.3208051515428
0,1,0.946611909650924,0.9892703862660941,crabeater,0.877526532411588,Densenet121,6965131,15.3454069058692
1,2,0.419087136929461,0.9901960784313729,weddell,0.877526532411588,Densenet121,6965131,15.3454069058692
2,3,0.996621621621622,0.838068181818182,emperor,0.877526532411588,Densenet121,6965131,15.3454069058692
3,4,0.839080459770115,0.588709677419355,marching-emperor,0.877526532411588,Densenet121,6965131,15.3454069058692
0,1,0.954166666666667,0.982832618025751,crabeater,0.8522808014212141,Densenet169,12502795,18.9387230587716
1,2,0.8290598290598291,0.9509803921568629,weddell,0.8522808014212141,Densenet169,12502795,18.9387230587716
2,3,0.978354978354978,0.963068181818182,emperor,0.8522808014212141,Densenet169,12502795,18.9387230587716
3,4,0.720496894409938,0.9354838709677421,marching-emperor,0.8522808014212141,Densenet169,12502795,18.9387230587716
0,1,,0.0,crabeater,0.0909090909090909,VGG16,134305611,21.3499003683973
1,2,,0.0,weddell,0.0909090909090909,VGG16,134305611,21.3499003683973
2,3,,0.0,emperor,0.0909090909090909,VGG16,134305611,21.3499003683973
3,4,,0.0,marching-emperor,0.0909090909090909,VGG16,134305611,21.3499003683973
